ФИО,Дата рождения,Комментарий к тесту
Образцов Глеб Романович,15.02.1990,однозначная дата дд.мм.гггг
Примеров Сергей Дмитриевич,1990-02-15,ISO 8601
Записева Ирина Дмитриевна,15 февраля 1990 г.,месяц словом
Строкина Мария Ивановна,1 марта 1985,месяц словом без «г.»
Синтетиков Сергей Сергеевич,03/04/1990,неоднозначно: 3 апреля или 4 марта
Столбцова Вера Ивановна,04/03/1990,неоднозначно: 4 марта или 3 апреля
Шаблонов Олег Дмитриевич,13/04/1990,однозначно: 13 не может быть месяцем
Выборкина Светлана Романовна,1990,только год
Эталонова Юлия Николаевна,02.1990,нет дня
Примерова Татьяна Павловна,15.02.90,двузначный год: век не установлен
Черновиков Павел Михайлович,31.02.1990,несуществующая дата
Эталонова Полина Петровна,29.02.1992,високосный год
Эталонова Софья Николаевна,29.02.1991,не високосный год
Шаблонов Сергей Иванович,около 1985 г.,приблизительно
Сводкин Глеб Николаевич,1990-15-02,некорректный ISO
Модельнов Тимур Павлович,20.10.2030,дата в будущем
Архивов Пётр Петрович,,пусто
