Номер заявки;Заявитель;Дата рождения заявителя;Созаявитель;Дата рождения созаявителя;Контактный телефон;Адрес объекта
З-00001;Черновиков Пётр Алексеевич;17.08.1966;Проверкин Тимур Андреевич;26.11.1954;+7 000 224-13-08;Шаблоновский р-н, г. Тестовск, ул. Шаблонная, д. 77
З-00002;Полева Ирина Егоровна;10.06.1993;Выборкина Дарья Михайловна;02.09.1963;+7 000 065-12-40;Образцовская обл., г. Образцовск, пр-т Примерный, д. 23, кв. 117
З-00003;Таблицына Татьяна Сергеевна;15.07.1997;Таблицына Софья Олеговна;23.01.1965;+7 000 027-42-79;Шаблоновский р-н, г. Тестовск, ш. Эталонное, д. 42, кв. 23
З-00004;Образцов Михаил Алексеевич;19.05.1964;Тестова Наталья Сергеевна;22.02.1966;+7 000 348-46-92;Образцовская обл., г. Тестовск, пер. Образцовый, д. 107, кв. 188
З-00005;Синтетикова Татьяна Дмитриевна;19.10.2000;;;+7 000 641-46-13;Респ. Условная, г. Эталонск, ул. Черновая, д. 114
З-00006;Макетов Николай Алексеевич;19.06.1961;Синтетиков Глеб Алексеевич;11.06.1978;+7 000 559-09-99;Шаблоновский р-н, с. Макетовка, б-р Макетный, д. 90
З-00007;Столбцова Анна Сергеевна;23.04.1950;;;+7 000 257-62-10;Респ. Условная, г. Условный, ул. Черновая, д. 13
З-00008;Модельнова Вера Павловна;07.12.1970;Тестов Иван Николаевич;21.11.1978;+7 000 502-40-87;Примерский край, пос. Шаблоново, ул. Черновая, д. 19, кв. 152
З-00009;Таблицын Олег Дмитриевич;31.07.1999;Строкина Ксения Михайловна;11.03.1988;+7 000 974-96-54;Шаблоновский р-н, г. Примерск, ш. Эталонное, д. 120, кв. 155
З-00010;Образцов Артём Павлович;10.09.2003;Полева Мария Романовна;18.09.2005;+7 000 171-91-77;Респ. Условная, с. Опытное, ул. Шаблонная, д. 65, кв. 207
З-00011;Таблицына Ксения Михайловна;30.10.2004;;;+7 000 300-07-22;Примерский край, ст. Пробная, ул. Черновая, д. 88
З-00012;Синтетиков Андрей Алексеевич;14.02.1970;;;+7 000 544-18-25;Респ. Условная, г. Эталонск, б-р Макетный, д. 106, кв. 108
З-00013;Полева Ирина Петровна;01.04.1977;Тестова Ксения Дмитриевна;29.04.1956;+7 000 037-91-05;Шаблоновский р-н, пос. Шаблоново, б-р Макетный, д. 90, кв. 7
З-00014;Эталонов Михаил Романович;27.03.1966;Демонстрова Наталья Романовна;15.10.1955;+7 000 880-41-96;Тестовская обл., г. Условный, наб. Условная, д. 97, кв. 168
З-00015;Эталонова Полина Петровна;13.05.1973;Записев Тимур Сергеевич;26.09.2002;+7 000 440-54-49;Тестовская обл., пос. Шаблоново, наб. Условная, д. 81, кв. 186
З-00016;Отчётова Елена Ивановна;25.02.1966;Архивов Глеб Егорович;29.02.1996;+7 000 336-97-87;Респ. Условная, г. Новотестовск, пер. Образцовый, д. 115, кв. 188
З-00017;Модельнова Дарья Сергеевна;30.03.1984;Отчётов Дмитрий Романович;04.02.1963;+7 000 898-40-96;Примерский край, г. Условный, наб. Условная, д. 132
З-00018;Тестова Вера Дмитриевна;03.01.1974;Таблицына Юлия Павловна;17.06.1979;+7 000 437-95-04;Респ. Условная, г. Новотестовск, ш. Эталонное, д. 136, кв. 162
З-00019;Реестрова Татьяна Сергеевна;28.02.2002;Черновиков Сергей Романович;18.11.2001;+7 000 995-62-90;Респ. Условная, г. Тестовск, наб. Условная, д. 100
З-00020;Тестова Мария Ивановна;15.06.1973;Макетов Павел Егорович;07.08.1970;+7 000 714-58-18;Респ. Условная, с. Опытное, ул. Тестовая, д. 64, кв. 177
З-00021;Черновиков Алексей Егорович;02.05.2003;;;+7 000 154-61-07;Респ. Условная, г. Новотестовск, пр-т Примерный, д. 41
З-00022;Полев Егор Егорович;28.09.1970;Пробникова Анна Ивановна;06.01.1965;+7 000 841-06-17;Тестовская обл., г. Тестовск, пр-т Примерный, д. 71, кв. 206
З-00023;Столбцов Егор Андреевич;02.12.1998;Записев Егор Павлович;01.01.1990;+7 000 256-75-03;Респ. Условная, г. Эталонск, ул. Черновая, д. 111, кв. 142
З-00024;Черновикова Мария Романовна;08.10.1965;Строкина Юлия Андреевна;28.04.1987;+7 000 579-23-30;Образцовская обл., ст. Пробная, ул. Шаблонная, д. 127, кв. 263
З-00025;Выборкин Дмитрий Сергеевич;25.11.2000;;;+7 000 753-23-57;Тестовская обл., г. Тестовск, пр-т Примерный, д. 94, кв. 188
