№;ФИО;Дата рождения;Место рождения;Телефон;E-mail;Адрес регистрации
000001;Архивова Светлана;15.10.1970;с. Опытное;+7 000 821-94-22;;Тестовская обл., пос. Шаблоново, пер. Образцовый, д. 1
000002;Синтетиков Иван Андреевич;03.09.1956;;80004350024;i.sintetikov59@example.org;Шаблоновский р-н, г. Образцовск, пер. Образцовый, д. 130, кв. 167
000003;Отчётова Алина Романовна;13.05.1988;с. Макетовка, Образцовская обл.;;;Образцовская обл., г. Тестовск, наб. Условная, д. 138
000004;Выборкин Олег Олегович;15.03.1997;г. Новотестовск, Респ. Условная;+7 000 198-93-74;;Образцовская обл., с. Опытное, ул. Тестовая, д. 56, кв. 8
000005;Строкин Андрей Иванович;19.06.1967;г. Эталонск, Шаблоновский р-н;80007455372;a.strokin@example.net;Респ. Условная, с. Опытное, ул. Черновая, д. 144, кв. 40
000006;Эталонова Елена Николаевна;22.01.1984;дер. Черновая;+7 000 315-53-97, 80009554455;e.etalonova@example.org;Респ. Условная, г. Тестовск, б-р Макетный, д. 9
000007;Таблицына Светлана Ивановна;11.06.2001;пос. Шаблоново, Тестовская обл.;80001257287, 8-000-315-20-89;s.tablitsyna@example.com;Шаблоновский р-н, с. Опытное, б-р Макетный, д. 150, кв. 63
000008;Тестов Николай Сергеевич;01.12.1961;г. Выгрузинск;8 (000) 828-13-55;;Шаблоновский р-н, пос. Шаблоново, пр-т Примерный, д. 118
000009;Архивов Алексей Дмитриевич;05.09.1983;с. Опытное, Тестовская обл.;8 (000) 484-75-56;a.arkhivov@example.org;Примерский край, пос. Шаблоново, пр-т Примерный, д. 5
000010;Модельнова Дарья Петровна;21.11.2003;г. Образцовск, Образцовская обл.;8-000-851-29-76, 8 (000) 641-85-44;d.modelnova55@example.net;Примерский край, г. Тестовск, наб. Условная, д. 115, кв. 210
000011;Архивова Дарья Николаевна;13.09.2003;г. Выгрузинск, Шаблоновский р-н;8 (000) 723-61-58, 8 (000) 453-14-17;;Тестовская обл., г. Эталонск, ш. Эталонное, д. 48
000012;Строкин Сергей Павлович;08.09.1970;г. Тестовск;+7 000 837-45-62;s.strokin@example.org;Примерский край, дер. Черновая, наб. Условная, д. 109
000013;Тестов Дмитрий Романович;13.11.1974;г. Образцовск;;;Шаблоновский р-н, г. Новотестовск, пер. Образцовый, д. 47, кв. 298
