employee_id,last_name,first_name,middle_name,birth_date,position,organization,work_phone,address
E0001,Таблицын,Пётр,Романович,1992-07-20,Менеджер,"ООО ""Образец и партнеры""",8 (000) 268-38-07,"наб. Условная, д. 74
кв. 191"
E0002,Пробникова,Полина,Олеговна,1960-11-17,Экономист,ООО «Тестовая организация»,8 (000) 748-14-85,"г. Выгрузинск, ул. Черновая, д. 9"
E0003,Эталонова,Алина,Николаевна,1987-07-18,Инженер,ООО «Образец и партнёры»,8 (000) 113-01-18,"г. Примерск, пер. Образцовый, д. 27"
E0004,Образцов,Михаил,Дмитриевич,1994-03-12,Бухгалтер,ООО «Образец и партнёры»,8 (000) 041-14-35,"г. Новотестовск, пр-т Примерный, д. 88"
E0005,Синтетиков,Егор,Андреевич,1966-02-26,Специалист,ООО «Образец и партнёры»,8 (000) 293-92-69,"ул. Шаблонная, д. 81
кв. 253"
E0006,Примеров,Иван,Дмитриевич,1960-02-02,Кладовщик,МУП «Опытное хозяйство»,8 (000) 534-19-38,"г. Эталонск, ул. Шаблонная, д. 92"
E0007,Полев,Пётр,Павлович,1989-12-14,Кладовщик,МУП «Опытное хозяйство»,8 (000) 893-03-86,"ул. Черновая, д. 90
кв. 117"
E0008,Отчётов,Олег,Петрович,1976-08-04,Специалист,"МУП ""Опытное хозяйство""",8 (000) 290-10-92,"ул. Черновая, д. 72
кв. 278"
E0009,Шаблонова,Ольга,Николаевна,1979-12-26,Юрист,МУП «Опытное хозяйство»,8 (000) 207-98-67,"б-р Макетный, д. 29
кв. 224"
E0010,Примеров,Андрей,Михайлович,2005-04-22,Экономист,"АО ""Пример-Сервис""",8 (000) 066-95-40,"г. Новотестовск, ул. Черновая, д. 85"
E0011,Синтетикова,Татьяна,Андреевна,2003-11-23,Аналитик,ГБУ «Условный центр»,8 (000) 867-86-97,"пос. Шаблоново, ул. Тестовая, д. 47"
E0012,Условнова,Наталья,Павловна,1968-08-28,Главный инженер,"АО ""Пример-Сервис""",8 (000) 445-63-62,"наб. Условная, д. 51
кв. 277"
E0013,Макетов,Артём,Михайлович,1959-03-22,Аналитик,МУП «Опытное хозяйство»,8 (000) 500-31-38,"пос. Шаблоново, ул. Шаблонная, д. 37"
E0014,Опытов,Егор,Алексеевич,2000-07-10,Кладовщик,"МУП ""Опытное хозяйство""",8 (000) 668-83-21,"пер. Образцовый, д. 58
кв. 273"
E0015,Отчётов,Артём,Сергеевич,1972-04-03,Кладовщик,МУП «Опытное хозяйство»,8 (000) 453-60-69,"пос. Шаблоново, наб. Условная, д. 35"
E0016,Таблицын,Дмитрий,Романович,1964-01-08,Менеджер,ООО «Тестовая организация»,8 (000) 637-67-15,"ст. Пробная, пер. Образцовый, д. 83"
E0017,Модельнов,Алексей,Алексеевич,1996-02-08,Техник,ООО «Образец и партнёры»,8 (000) 927-94-92,"ул. Черновая, д. 65
кв. 278"
E0018,Демонстрова,Елена,Николаевна,1998-04-01,Экономист,АО «Пример-Сервис»,8 (000) 733-01-95,"пер. Образцовый, д. 19
кв. 58"
E0019,Выборкина,Татьяна,Ивановна,1972-09-26,Экономист,"АО ""Пример-Сервис""",8 (000) 130-43-52,"ул. Тестовая, д. 62
кв. 234"
E0020,Столбцова,Алина,Дмитриевна,1959-01-20,Менеджер,МУП «Опытное хозяйство»,8 (000) 869-54-45,"г. Условный, пер. Образцовый, д. 40"
E0021,Тестов,Роман,Олегович,1997-07-16,Менеджер,ООО «Тестовая организация»,8 (000) 659-95-16,"г. Образцовск, ул. Тестовая, д. 69"
E0022,Условнова,Дарья,Алексеевна,1986-04-18,Аналитик,ООО «Тестовая организация»,8 (000) 477-81-85,"г. Условный, пер. Образцовый, д. 27"
E0023,Модельнова,Мария,Ивановна,1980-06-29,Бухгалтер,АО «Пример-Сервис»,8 (000) 935-94-74,"г. Образцовск, пер. Образцовый, д. 42"
E0024,Архивов,Алексей,Петрович,1991-01-03,Кладовщик,ООО «Тестовая организация»,8 (000) 033-70-65,"г. Эталонск, ш. Эталонное, д. 26"
E0025,Синтетикова,Наталья,Олеговна,2001-06-02,Менеджер,"ГБУ ""Условный центр""",8 (000) 695-91-31,"г. Выгрузинск, пр-т Примерный, д. 83"
E0026,Архивова,Полина,Олеговна,1999-01-23,Главный инженер,ООО «Шаблон Логистик»,8 (000) 181-21-08,"ул. Черновая, д. 31
кв. 10"
E0027,Опытова,Софья,Михайловна,1980-07-15,Водитель,МУП «Опытное хозяйство»,8 (000) 701-07-86,"г. Новотестовск, пер. Образцовый, д. 27"
E0028,Записева,Наталья,Романовна,2002-10-01,Юрист,"ООО ""Тестовая организация""",8 (000) 119-41-76,"г. Примерск, пр-т Примерный, д. 96"
E0029,Синтетиков,Сергей,Михайлович,1953-04-28,Водитель,ООО «Шаблон Логистик»,8 (000) 463-80-82,"пос. Шаблоново, наб. Условная, д. 93"
E0030,Реестрова,Мария,Павловна,1967-11-12,Юрист,"ООО ""Тестовая организация""",8 (000) 336-11-90,"ул. Шаблонная, д. 86
кв. 4"
E0031,Синтетиков,Михаил,Олегович,1963-12-03,Экономист,МУП «Опытное хозяйство»,8 (000) 253-47-38,"пос. Шаблоново, пр-т Примерный, д. 49"
E0032,Шаблонов,Андрей,Романович,1962-05-16,Специалист,"ООО ""Тестовая организация""",8 (000) 002-05-66,"г. Тестовск, пер. Образцовый, д. 65"
E0033,Архивов,Андрей,Андреевич,1979-09-10,Техник,ПАО «Эталон-Банк (тест)»,8 (000) 560-11-79,"дер. Черновая, б-р Макетный, д. 9"
E0034,Условнов,Пётр,Романович,1988-09-08,Бухгалтер,"МУП ""Опытное хозяйство""",8 (000) 473-40-94,"ул. Шаблонная, д. 74
кв. 124"
E0035,Опытов,Тимур,Сергеевич,1971-11-15,Главный инженер,ГБУ «Условный центр»,8 (000) 317-96-35,"г. Эталонск, пр-т Примерный, д. 3"
E0036,Таблицына,Татьяна,Сергеевна,1989-08-22,Юрист,ООО «Тестовая организация»,8 (000) 578-67-17,"пос. Шаблоново, ул. Тестовая, д. 66"
E0037,Модельнова,Полина,Дмитриевна,1955-11-13,Техник,ПАО «Эталон-Банк (тест)»,8 (000) 689-71-34,"ст. Пробная, ул. Шаблонная, д. 85"
E0038,Отчётова,Мария,Андреевна,2001-08-21,Кладовщик,ГБУ «Условный центр»,8 (000) 074-30-21,"б-р Макетный, д. 23
кв. 79"
E0039,Столбцова,Елена,Романовна,1999-01-06,Оператор,"АО ""Пример-Сервис""",8 (000) 440-18-36,"г. Новотестовск, ул. Черновая, д. 48"
E0040,Макетов,Роман,Дмитриевич,1963-07-11,Главный инженер,ГБУ «Условный центр»,8 (000) 967-64-10,"г. Тестовск, ш. Эталонное, д. 62"
E0041,Столбцова,Дарья,Егоровна,1985-12-29,Бухгалтер,ООО «Шаблон Логистик»,8 (000) 082-50-95,"дер. Черновая, пр-т Примерный, д. 53"
E0042,Архивов,Егор,Романович,1956-10-11,Кладовщик,"АО ""Пример-Сервис""",8 (000) 798-27-54,"с. Опытное, пр-т Примерный, д. 3"
E0043,Демонстров,Артём,Михайлович,1991-12-06,Аналитик,ООО «Образец и партнёры»,8 (000) 044-62-74,"г. Выгрузинск, ул. Черновая, д. 63"
E0044,Модельнова,Ольга,Николаевна,1991-12-02,Менеджер,АО «Пример-Сервис»,8 (000) 886-47-46,"дер. Черновая, ул. Тестовая, д. 40"
E0045,Выгрузкин,Павел,Андреевич,1995-10-19,Инженер,"ООО ""Образец и партнеры""",8 (000) 630-43-35,"ст. Пробная, ул. Шаблонная, д. 74"
E0046,Архивов,Олег,Егорович,1993-05-30,Инженер,ПАО «Эталон-Банк (тест)»,8 (000) 568-13-99,"ст. Пробная, ул. Черновая, д. 67"
E0047,Примеров,Олег,Андреевич,1970-03-29,Менеджер,АО «Пример-Сервис»,8 (000) 669-47-26,"ст. Пробная, пер. Образцовый, д. 30"
E0048,Макетов,Иван,Павлович,1976-11-01,Аналитик,"ООО ""Тестовая организация""",8 (000) 105-23-31,"пр-т Примерный, д. 90
кв. 260"
E0049,Проверкина,Ксения,Дмитриевна,1972-09-17,Водитель,"ГБУ ""Условный центр""",8 (000) 000-24-02,"ул. Черновая, д. 70
кв. 168"
E0050,Образцова,Анна,Ивановна,1958-11-02,Водитель,"ГБУ ""Условный центр""",8 (000) 853-29-73,"г. Выгрузинск, наб. Условная, д. 58"
E0051,Пробникова,Светлана,Николаевна,1994-05-15,Водитель,АО «Пример-Сервис»,8 (000) 345-42-75,"пр-т Примерный, д. 55
кв. 169"
E0052,Реестров,Пётр,Олегович,1991-08-04,Специалист,ПАО «Эталон-Банк (тест)»,8 (000) 246-78-99,"г. Новотестовск, пер. Образцовый, д. 76"
E0053,Столбцов,Сергей,Алексеевич,1973-08-25,Бухгалтер,ООО «Шаблон Логистик»,8 (000) 301-85-78,"пер. Образцовый, д. 11
кв. 69"
E0054,Столбцова,Полина,Ивановна,2001-07-01,Инженер,ПАО «Эталон-Банк (тест)»,8 (000) 200-38-20,"наб. Условная, д. 64
кв. 142"
E0055,Демонстров,Михаил,Сергеевич,1968-03-30,Техник,ООО «Тестовая организация»,8 (000) 866-24-62,"ул. Черновая, д. 9
кв. 50"
E0056,Сводкина,Наталья,Ивановна,1969-09-23,Инженер,"ООО ""Образец и партнеры""",8 (000) 528-22-28,"пер. Образцовый, д. 31
кв. 247"
E0057,Примеров,Иван,Дмитриевич,1951-07-03,Экономист,"АО ""Пример-Сервис""",8 (000) 999-40-27,"г. Примерск, ул. Шаблонная, д. 80"
E0058,Сводкин,Артём,Егорович,1966-09-01,Оператор,ООО «Шаблон Логистик»,8 (000) 556-10-81,"г. Образцовск, пр-т Примерный, д. 90"
E0059,Сводкин,Михаил,Алексеевич,1982-09-26,Водитель,"ООО ""Тестовая организация""",8 (000) 944-81-02,"г. Эталонск, ул. Шаблонная, д. 40"
E0060,Черновиков,Алексей,Петрович,1995-10-29,Кладовщик,ООО «Шаблон Логистик»,8 (000) 448-66-13,"с. Макетовка, ш. Эталонное, д. 23"
