Телефон;E-mail;Госномер;Комментарий
+7 000 323 82 08;;;из обращения
+7 000 708-84-97;;С000НТ000;из обращения
80004058964;;У000УТ000;из обращения
;contact4@example.net;;
;;;см. предыдущую запись
+7(000)4590144;;;анкета без ФИО
+7 000 482-70-82;;;звонок на линию
+7 000 825-39-58;;У000ХУ000;анкета без ФИО
8 (000) 042-66-67;;;звонок на линию
;;;—
+7 000 212-51-05;;;
+7 000 331-61-37;;;звонок на линию
8-000-250-74-21;contact13@example.com;;анкета без ФИО
8-000-410-94-59;contact14@example.net;;из обращения
;;;н/д
;contact16@example.net;Х000ВЕ000;звонок на линию
;contact17@example.com;А000РС000;из обращения
+7(000)3023600;;;звонок на линию
80000724641;;;анкета без ФИО
;;;нет данных
