Табельный номер;ФИО;Номер счёта;Паспорт;ИНН;СНИЛС;Телефон
000001;Записева Мария Николаевна;00103168162534183872;00 50 259883;009947399957;000-957-654 00;80004588858
000002;Модельнов Егор Дмитриевич;00029679602311096252;00 05 376558;003603143613;000-189-754 00;80008421399
000003;Шаблонова Ксения Егоровна;00724587193422457382;00 80 621212;005081980305;000-547-777 00;80002126579
000004;Условнова Анна Николаевна;00418388163353145245;00 15 305345;004676505272;000-376-552 00;80001076578
000005;Реестров Тимур Алексеевич;00800246330898706451;00 12 541879;008315538138;000-681-738 00;80001575441
000006;Проверкин Сергей Дмитриевич;00878933483958714606;00 53 971711;000994753548;000-343-446 00;80006342193
000007;Полева Светлана Дмитриевна;00988758616705487721;00 09 463301;006905484030;000-165-496 00;80007690048
000008;Строкина Вера Алексеевна;00561804797765599942;00 62 462641;003990808875;000-785-674 00;80003273299
000009;Пробников Пётр Дмитриевич;00275390383623935037;00 63 031668;003692456614;000-397-376 00;80009537167
000010;Выгрузкин Николай Егорович;00215489253694760943;00 12 597485;001057103546;000-450-894 00;80001686614
000011;Архивова Софья Андреевна;00504152847290741762;00 73 813380;003455657917;000-908-455 00;80009472833
000012;Примеров Павел Петрович;00027465139763811528;00 39 198338;001506256364;000-429-900 00;80006834528
000013;Черновиков Сергей Романович;00310091568540545156;00 52 092567;007282179025;000-090-919 00;80001082956
000014;Архивова Полина Павловна;00727374164542766044;00 58 741693;008391535667;000-171-694 00;80001390238
000015;Выгрузкина Ксения Андреевна;00261000134752244366;00 44 748238;000851457312;000-925-557 00;80007627345
000016;Архивов Роман Дмитриевич;00060429344352141638;00 92 826641;006010096417;000-981-447 00;80004693606
000017;Пробникова Алина Ивановна;00576690544450195949;00 72 719812;003126917226;000-673-829 00;80002985239
000018;Столбцов Михаил Дмитриевич;00789640837611200977;00 82 259369;006769572390;000-445-495 00;80009728763
000019;Выборкина Мария Сергеевна;00700323075484633347;00 81 751046;006627635898;000-135-103 00;80001892693
000020;Записев Егор Павлович;00327485039770029073;00 62 999909;006604626233;000-508-309 00;80007424137
