Владелец	Дата рождения владельца	Госномер	VIN	Марка	Модель	Год выпуска	Цвет
Выборкина Алина Дмитриевна	08.02.1963	Х000РМ000	TSTNRS2YM9G2SRWV8	Hyundai	Solaris	2009	серебристый
Отчётов Сергей Олегович	26.01.1958	В000МН000	TSTK4VUE40M582R22	ГАЗ	Газель	2012	чёрный
Эталонов Дмитрий Сергеевич	21.10.1976	М000СН000	TSTXZ10TGRA4K153W	Toyota	Corolla	2019	синий
Эталонова Наталья Олеговна	10.12.1968	М000ТН000	TST8KHHNTVJME8488	Hyundai	Solaris	2017	красный
Синтетиков Дмитрий Алексеевич	31.08.1974	Х000МА000	TSTJB1E6SWFNS7B3W	Skoda	Octavia	2021	серый
Сводкин Артём Петрович	28.07.1978	Т000МВ000	TSTWLF0SWNCCGNG8L	Skoda	Octavia	2013	синий
Модельнова Ольга Олеговна	26.05.1966	Т000ВН000	TSTLMEV8DA7T9A71V	Hyundai	Solaris	2012	белый
Выборкина Наталья Михайловна	20.02.1980	Е000УК000	TSTZZNJ9A0X948EF5	Kia	Rio	2023	серебристый
Условнов Андрей Николаевич	26.03.2000	Т000УУ000	TSTKFSKE4NXNMPSM7	Hyundai	Solaris	2023	красный
Реестров Тимур Дмитриевич	16.12.2002	Н000НУ000	TSTPLE3VHHX89XMJ6	Hyundai	Solaris	2011	серебристый
Полев Дмитрий Иванович	15.02.1963	С000МЕ000	TST23K260XXBUMRXK	Hyundai	Solaris	2011	белый
Таблицына Елена Павловна	20.11.1976	У000НЕ000	TSTXLRR61UWNHTKXK	Лада	Нива	2013	чёрный
Эталонов Глеб Сергеевич	16.03.1960	У000ХВ000	TSTU5Y9GWTN5PDJ7X	Лада	Нива	2012	серебристый
Примерова Софья Дмитриевна	25.09.1998	Т000ЕМ000	TSTT7DRUX23HBDX9C	УАЗ	Патриот	2008	белый
Столбцова Мария Сергеевна	01.07.1995	Е000ВЕ000	TST2HS772XKZEBXCN	УАЗ	Патриот	2014	серый
Сводкина Юлия Дмитриевна	04.03.1968	В000АМ000	TST5XU9MVLY28WKAL	Hyundai	Solaris	2018	серебристый
Записев Андрей Михайлович	26.06.1956	О000ВА000	TST02AMTBXBZG8UMZ	Skoda	Octavia	2021	серый
Тестов Тимур Олегович	18.08.1982	Н000РУ000	TSTTYP5C22Y6G8KFE	УАЗ	Патриот	2006	синий
Черновикова Мария Андреевна	19.10.1979	Н000КУ000	TSTN6ELHHVMAK70B1	УАЗ	Патриот	2022	красный
Макетов Артём Алексеевич	16.07.1985	В000УК000	TSTJJLPK56RWN3CR6	Toyota	Corolla	2025	красный
Проверкина Ксения Алексеевна	19.11.1968	В000ВУ000	TST2R1WBWFR648697	ГАЗ	Газель	2006	чёрный
Черновикова Мария Романовна	24.05.1978	Х000МК000	TSTE3A680KUDVUVTT	Skoda	Octavia	2019	чёрный
Записева Вера Романовна	09.01.1985	Х000КЕ000	TSTUVRCCK7K8JARAJ	Toyota	Corolla	2016	белый
Реестрова Дарья Егоровна	13.12.1965	К000КА000	TSTM6SA4G0LYMG3V1	Skoda	Octavia	2025	чёрный
Макетова Полина Дмитриевна	30.07.1970	Р000АЕ000	TSTB5AU29MN6RG10R	Skoda	Octavia	2021	серебристый
Выгрузкина Полина Ивановна	14.10.1994	С000АО000	TSTWP7T7GFCEVMSP1	Лада	Веста	2007	серый
Черновикова Вера Романовна	24.02.1972	Н000ОА000	TSTBP2PHE21A62DUY	Toyota	Corolla	2014	белый
Шаблонова Алина Егоровна	13.02.1977	Х000УХ000	TSTJ9NRP5Z2X446ME	ГАЗ	Газель	2007	чёрный
Черновиков Пётр Сергеевич	01.09.1984	Е000НЕ000	TST5JDPP5MPFX8TR7	Hyundai	Solaris	2015	чёрный
Шаблонов Тимур Егорович	29.01.1971	А000НО000	TSTN02XV7N9B73MSF	Skoda	Octavia	2013	чёрный
