Выгрузка счетов клиентов (синтетические данные)
Сформировано: 24.09.2026 10:00; источник: тестовый контур
Внимание: номера счетов и карт вымышлены
Клиент|Дата рождения|Номер счёта|Банк|БИК|Карта
Выборкина Вера Андреевна|10.08.1993|40817810000095715944|ООО «Условный кредит (тест)»|000000003|5555 5555 5555 4444
Тестова Светлана Егоровна|20.06.1973|00576334933309764593|ПАО «Эталон-Банк (тест)»|000000001|
Синтетикова Алина Михайловна|24.01.1993|40817810000038273846|АО «Банк Пример (тест)»|000000002|
Таблицын Алексей Сергеевич|25.03.1970|00408765332230110374|ПАО «Эталон-Банк (тест)»|000000001|5555 5555 5555 4444
Примеров Тимур Андреевич|01.03.2004|40817810000035708539|АО «Банк Пример (тест)»|000000002|
Примеров Николай Романович|19.07.1995|40817810000052051658|АО «Банк Пример (тест)»|000000002|
Модельнова Юлия Олеговна|15.05.1964|00051679814486466544|АО «Банк Пример (тест)»|000000002|4000 0000 0000 0002
Эталонов Михаил Павлович|21.11.1954|40817810000003209086|ООО «Условный кредит (тест)»|000000003|2200 0000 0000 0004
Демонстрова Ксения Дмитриевна|02.01.1983|40817810000093535242|АО «Банк Пример (тест)»|000000002|5105 1051 0510 5100
Таблицын Андрей Андреевич|08.08.1968|00634951138996392752|ООО «Условный кредит (тест)»|000000003|
Полев Дмитрий Алексеевич|01.03.1988|40817810000084957990|ООО «Условный кредит (тест)»|000000003|
Полев Андрей Павлович|02.05.1995|40817810000072722694|ПАО «Эталон-Банк (тест)»|000000001|4111 1111 1111 1111
Выборкин Сергей Павлович|15.08.1983|40817810000094291960|ООО «Условный кредит (тест)»|000000003|5105 1051 0510 5100
Макетова Мария Романовна|26.06.1973|00061907395299104510|АО «Банк Пример (тест)»|000000002|4000 0000 0000 0002
Тестова Татьяна Николаевна|12.04.1986|40817810000003540027|ПАО «Эталон-Банк (тест)»|000000001|2200 0000 0000 0004
Синтетиков Пётр Алексеевич|12.12.1969|40817810000029894917|ООО «Условный кредит (тест)»|000000003|4111 1111 1111 1111
Макетова Светлана Ивановна|20.07.1974|40817810000056018098|АО «Банк Пример (тест)»|000000002|5555 5555 5555 4444
Модельнов Павел Андреевич|23.10.2000|40817810000082218189|ПАО «Эталон-Банк (тест)»|000000001|
Строкина Наталья Андреевна|26.11.1950|40817810000098840908|ООО «Условный кредит (тест)»|000000003|5105 1051 0510 5100
Сводкин Глеб Павлович|04.09.1970|40817810000021650148|ПАО «Эталон-Банк (тест)»|000000001|5105 1051 0510 5100
Опытова Вера Алексеевна|16.12.1965|40817810000039278317|ПАО «Эталон-Банк (тест)»|000000001|4000 0000 0000 0002
Проверкина Анна Дмитриевна|27.12.1988|40817810000042441633|АО «Банк Пример (тест)»|000000002|
Синтетикова Алина Дмитриевна|09.10.2005|40817810000039497601|АО «Банк Пример (тест)»|000000002|4000 0000 0000 0002
Записева Мария Ивановна|04.07.1981|40817810000081261811|ООО «Условный кредит (тест)»|000000003|4111 1111 1111 1111
Опытова Дарья Сергеевна|12.10.1981|40817810000000452781|ПАО «Эталон-Банк (тест)»|000000001|5555 5555 5555 4444
Полев Олег Николаевич|02.10.1977|40817810000073459828|ПАО «Эталон-Банк (тест)»|000000001|4000 0000 0000 0002
Примерова Алина Петровна|30.03.1976|40817810000012498728|АО «Банк Пример (тест)»|000000002|4000 0000 0000 0002
Эталонова Полина Алексеевна|21.05.1982|40817810000059338014|ПАО «Эталон-Банк (тест)»|000000001|2200 0000 0000 0004
Примерова Полина Михайловна|18.12.1960|40817810000042477254|ПАО «Эталон-Банк (тест)»|000000001|
Эталонов Артём Егорович|29.04.2003|40817810000064611425|ПАО «Эталон-Банк (тест)»|000000001|
Реестров Николай Алексеевич|26.02.1973|40817810000006999844|ООО «Условный кредит (тест)»|000000003|
Демонстрова Ксения Алексеевна|06.05.1995|40817810000057312243|АО «Банк Пример (тест)»|000000002|
Опытов Глеб Павлович|25.06.1980|40817810000006836897|ООО «Условный кредит (тест)»|000000003|
Реестров Олег Андреевич|18.04.1988|00393024134050283970|АО «Банк Пример (тест)»|000000002|5105 1051 0510 5100
Тестова Ксения Алексеевна|13.02.1953|40817810000078530107|ПАО «Эталон-Банк (тест)»|000000001|
Столбцов Сергей Петрович|30.05.1983|40817810000090237282|ПАО «Эталон-Банк (тест)»|000000001|
Эталонов Николай Иванович|30.09.1973|00429198505089711699|ООО «Условный кредит (тест)»|000000003|4111 1111 1111 1111
Эталонов Михаил Андреевич|09.12.1957|00552369669738610244|ПАО «Эталон-Банк (тест)»|000000001|
Полева Татьяна Петровна|29.03.1960|40817810000040455095|ООО «Условный кредит (тест)»|000000003|
Образцова Татьяна Ивановна|27.07.1957|40817810000047189736|ООО «Условный кредит (тест)»|000000003|5555 5555 5555 4444
