Фамилия;Имя;Отчество;Дата рождения;Телефон;Место работы
Черновикова;Полина;Романовна;13.01.1981;8-000-853-05-84;"МУП ""Опытное хозяйство"""
Реестров;Михаил;Алексеевич;18.06.1970;8-000-784-41-62;"ГБУ ""Условный центр"""
Эталонова;Ксения;Ивановна;20.12.1951;8-000-120-76-30;"МУП ""Опытное хозяйство"""
Образцова;Юлия;Олеговна;07.07.2004;8-000-542-82-00;"ГБУ ""Условный центр"""
Выборкин;Павел;Михайлович;30.01.1950;8-000-403-47-79;"ООО ""Тестовая организация"""
Модельнова;Софья;Андреевна;24.03.1999;8-000-867-35-03;"ООО ""Тестовая организация"""
Выборкина;Алина;Николаевна;22.07.1976;8-000-541-53-34;"ООО ""Тестовая организация"""
Выгрузкин;Дмитрий;Николаевич;15.07.1985;8-000-049-13-79;"ООО ""Тестовая организация"""
Условнов;Тимур;Павлович;06.07.1997;8-000-255-16-48;"ГБУ ""Условный центр"""
Выгрузкин;Павел;Сергеевич;15.03.1982;8-000-957-72-53;"АО ""Пример-Сервис"""
Проверкин;Андрей;Егорович;05.08.1981;8-000-317-94-58;"ООО ""Тестовая организация"""
Образцов;Дмитрий;Романович;02.07.1980;8-000-900-53-73;"ООО ""Тестовая организация"""
Пробникова;Ольга;Егоровна;16.09.2000;8-000-384-53-75;"МУП ""Опытное хозяйство"""
Выборкина;Наталья;Петровна;19.02.1988;8-000-018-93-01;"ООО ""Тестовая организация"""
Модельнов;Глеб;Андреевич;07.03.1997;8-000-709-82-19;"ООО ""Образец и партнеры"""
Строкина;Полина;Олеговна;28.02.1969;8-000-144-95-14;"АО ""Пример-Сервис"""
Макетов;Олег;Романович;19.06.1958;8-000-855-00-15;"ООО ""Тестовая организация"""
Синтетикова;Мария;Алексеевна;05.03.1983;8-000-266-57-25;"ГБУ ""Условный центр"""
Полев;Николай;Алексеевич;30.01.1967;8-000-139-64-04;"ООО ""Образец и партнеры"""
Реестрова;Ольга;Олеговна;23.03.2005;8-000-057-86-43;"ГБУ ""Условный центр"""
